"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 12 23:55:03 EEST 2021","Mon Apr 12 23:56:19 EEST 2021","75553","Default Suite","ws30-test-automation","webshop.tests.MetroTests","webshop.tests.MetroTests","addAndRemoveProductsFirstApproach","addAndRemoveProductsFirstApproach","Check adding and removing 2 products - first approach"
"broken","Mon Apr 12 23:56:21 EEST 2021","Mon Apr 12 23:57:34 EEST 2021","72676","Default Suite","ws30-test-automation","webshop.tests.MetroTests","webshop.tests.MetroTests","addAndRemoveProductsFirstApproach","addAndRemoveProductsFirstApproach","Check adding and removing 2 products - first approach"
